Drug name	STITCH ID	Phase	Drug status	Smiles	Level 1 ATC Codes
irofulven	CIDs00148189	Phase 3	unapproved	CC1=C(CO)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1	
atazanavir	CIDs00148192	Phase 4	approved	COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C	J - ANTIINFECTIVES FOR SYSTEMIC USE
lonafarnib	CIDs00148195	Phase 4	approved	NC(=O)N1CCC(CC(=O)N2CCC([C@H]3c4ncc(Br)cc4CCc4cc(Cl)cc(Br)c43)CC2)CC1	
diquafosol	CIDs00148196	Phase 3	unapproved	O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4ccc(=O)[nH]c4=O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1	
Chs 828	CIDs00148198	Phase 1	unapproved	N#CN/C(=N\CCCCCCOc1ccc(Cl)cc1)Nc1ccncc1	
tariquidar	CIDs00148201	Phase 3	unapproved	COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(OC)c(OC)cc3NC(=O)c3cnc4ccccc4c3)cc1)CC2	
Cositecan	CIDs00148202	Phase 2	unapproved	CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2CC[Si](C)(C)C	
levofloxacin	CIDs00149096	Phase 4	approved	C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23	S - SENSORY ORGANS | J - ANTIINFECTIVES FOR SYSTEMIC USE
5-formyltetrahydrofolate	CIDs00149436	Phase 4	approved	Nc1nc(=O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2C=O	
ezetimibe	CIDs00150311	Phase 4	approved	O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1	C - CARDIOVASCULAR SYSTEM
ertapenem	CIDs00150610	Phase 4	approved	C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)Nc4cccc(C(=O)O)c4)C3)[C@H](C)[C@H]12	J - ANTIINFECTIVES FOR SYSTEMIC USE
nepafenac	CIDs00151075	Phase 4	approved	NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N	S - SENSORY ORGANS
lumiracoxib	CIDs00151166	Phase 4	approved	Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1	M - MUSCULO-SKELETAL SYSTEM
cilomilast	CIDs00151170	Phase 3	unapproved	COc1ccc([C@]2(C#N)CC[C@@H](C(=O)O)CC2)cc1OC1CCCC1	
conivaptan	CIDs00151171	Phase 4	approved	Cc1nc2c([nH]1)CCN(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)c1ccccc1-2	C - CARDIOVASCULAR SYSTEM
tezosentan	CIDs00151174	Phase 3	unapproved	COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)C)cn2)nc(-c2ccnc(-c3nn[nH]n3)c2)nc1OCCO	
vatalanib	CIDs00151193	Phase 3	unapproved	Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1	
MMPD	CIDs00153241	Phase 2	unapproved	COc1cc(NC(=O)Nc2cccc(CNC(=O)O[C@H]3CCOC3)c2)ccc1-c1cnco1	
AS-3201	CIDs00153948	Phase 3	unapproved	O=C1C[C@@]2(C(=O)N1)C(=O)N(Cc1ccc(Br)cc1F)C(=O)c1cccn12	
clevidipine	CIDs00153994	Phase 4	approved	CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl	C - CARDIOVASCULAR SYSTEM
zosuquidar	CIDs00153997	Phase 3	unapproved	O[C@@H](COc1cccc2ncccc12)CN1CCN([C@@H]2c3ccccc3[C@@H]3[C@H](c4ccccc42)C3(F)F)CC1	
ruboxistaurin	CIDs00153999	Phase 3	unapproved	CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1	
solifenacin	CIDs00154058	Phase 4	approved	O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1	G - GENITO URINARY SYSTEM AND SEX HORMONES
dexmethylphenidate	CIDs00154100	Phase 4	approved	COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1	N - NERVOUS SYSTEM
pumosetrag	CIDs00154103	Phase 2	unapproved	O=C(N[C@H]1CN2CCC1CC2)c1c[nH]c2ccsc2c1=O	
peramivir	CIDs00154234	Phase 4	approved	CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N	J - ANTIINFECTIVES FOR SYSTEMIC USE
bazedoxifene	CIDs00154256	Phase 4	approved	Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12	G - GENITO URINARY SYSTEM AND SEX HORMONES
hyoscyamine	CIDs00154417	Phase 4	approved	CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)[C@H](CO)c1ccccc1)C2	A - ALIMENTARY TRACT AND METABOLISM
acolbifene	CIDs00155435	Phase 3	unapproved	CC1=C(c2ccc(O)cc2)[C@H](c2ccc(OCCN3CCCCC3)cc2)Oc2cc(O)ccc21	
xamoterol	CIDs00155773	Phase 4	approved	O=C(NCCNCC(O)COc1ccc(O)cc1)N1CCOCC1	C - CARDIOVASCULAR SYSTEM
varespladib	CIDs00155815	Phase 2	unapproved	CCc1c(C(=O)C(N)=O)c2c(OCC(=O)O)cccc2n1Cc1ccccc1	
naproxen	CIDs00156391	Phase 4	approved	COc1ccc2cc([C@H](C)C(=O)O)ccc2c1	G - GENITO URINARY SYSTEM AND SEX HORMONES | M - MUSCULO-SKELETAL SYSTEM | M - MUSCULO-SKELETAL SYSTEM
canertinib	CIDs00156413	Phase 3	unapproved	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1	
cinacalcet	CIDs00156418	Phase 4	approved	C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12	H - SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
BIRB796	CIDs00156422	Phase 2	unapproved	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1	
lidorestat	CIDs00157838	Phase 2	unapproved	O=C(O)Cn1cc(Cc2nc3c(F)c(F)cc(F)c3s2)c2ccccc21	
lubiprostone	CIDs00157920	Phase 4	approved	CCCCC(F)(F)[C@@]1(O)CC[C@H]2[C@@H](CC(=O)[C@@H]2CCCCCCC(=O)O)O1	A - ALIMENTARY TRACT AND METABOLISM
olmesartan	CIDs00158781	Phase 3	unapproved	CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1	
DOTATOC	CIDs00158782	Phase 3	unapproved	C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)CN2CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC2)CSSC[C@@H](C(=O)N[C@H](CO)[C@@H](C)O)NC1=O	
aplindore	CIDs00158784	Phase 2	unapproved	O=C1Cc2c(ccc3c2O[C@@H](CNCc2ccccc2)CO3)N1	
selenocompounds	CIDs00158795	Phase 2	unapproved	OC[C@H]1O[C@@H](n2cnc3c(N[C@@H]4CCOC4)ncnc32)[C@H](O)[C@@H]1O	
NPS-R 568	CIDs00158796	Phase 2	unapproved	COc1cccc([C@@H](C)NCCCc2ccccc2Cl)c1	
telbivudine	CIDs00159269	Phase 4	approved	Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O	J - ANTIINFECTIVES FOR SYSTEMIC USE
tipifarnib	CIDs00159324	Phase 3	unapproved	Cn1cncc1[C@@](N)(c1ccc(Cl)cc1)c1ccc2c(c1)c(-c1cccc(Cl)c1)cc(=O)n2C	
torcetrapib	CIDs00159325	Phase 3	unapproved	CCOC(=O)N1c2ccc(C(F)(F)F)cc2[C@@H](N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)C(=O)OC)C[C@H]1CC	
atrasentan	CIDs00159594	Phase 3	unapproved	CCCCN(CCCC)C(=O)CN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)cc1	
resiquimod	CIDs00159603	Phase 2	unapproved	CCOCc1nc2c(N)nc3ccccc3c2n1CC(C)(C)O	
dipalmitoylphosphatidylcholine	CIDs00160339	Phase 4	approved	CCCCCCCCCCCCCCCC(=O)OC[C@H](CO[P@](=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC	R - RESPIRATORY SYSTEM
roscovitine	CIDs00160355	Phase 2	unapproved	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	
DITPA	CIDs00160565	Phase 2	unapproved	O=C(O)CCc1cc(I)c(Oc2ccc(O)cc2)c(I)c1	
L-kynurenine	CIDs00161165	Phase 1	unapproved	Nc1ccccc1C(=O)C[C@H](N)C(=O)O	
icilin	CIDs00161930	Phase 3	unapproved	O=C1NC(c2cccc([N+](=O)[O-])c2)=CCN1c1ccccc1O	
fenobam	CIDs00162834	Phase 1	unapproved	CN1CC(=O)N=C1NC(=O)Nc1cccc(Cl)c1	
tipranavir	CIDs00163296	Phase 4	approved	CCC[C@@]1(CCc2ccccc2)CC(O)=C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1	J - ANTIINFECTIVES FOR SYSTEMIC USE
talampanel	CIDs00164509	Phase 2	unapproved	CC(=O)N1N=C(c2ccc(N)cc2)c2cc3c(cc2C[C@H]1C)OCO3	
bepotastine	CIDs00164522	Phase 4	approved	O=C(O)CCCN1CCC(O[C@@H](c2ccc(Cl)cc2)c2ccccn2)CC1	
levonordefrin	CIDs00164739	Phase 4	approved	C[C@H](N)[C@H](O)c1ccc(O)c(O)c1	
paromomycin	CIDs00165579	Phase 4	approved	NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O	A - ALIMENTARY TRACT AND METABOLISM
aminopterin	CIDs00169370	Phase 2	unapproved	Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2n1	
17-OHPC	CIDs00169870	Phase 4	approved	CCCCCC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C	G - GENITO URINARY SYSTEM AND SEX HORMONES
varenicline	CIDs00170361	Phase 4	approved	c1cnc2cc3c(cc2n1)C1CNCC3C1	N - NERVOUS SYSTEM
farglitazar	CIDs00170364	Phase 2	unapproved	Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1	
anti-biotin	CIDs00171548	Phase 4	approved	O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12	A - ALIMENTARY TRACT AND METABOLISM
dezocine	CIDs00171575	Phase 4	approved	C[C@@]12CCCCC[C@@H](Cc3ccc(O)cc31)[C@@H]2N	N - NERVOUS SYSTEM
angiotensin	CIDs00172197	Phase 4	approved	CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O	C - CARDIOVASCULAR SYSTEM
lixivaptan	CIDs00172997	Phase 3	unapproved	Cc1ccc(F)cc1C(=O)Nc1ccc(C(=O)N2Cc3cccn3Cc3ccccc32)c(Cl)c1	
atropine	CIDs00174174	Phase 4	approved	CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2	A - ALIMENTARY TRACT AND METABOLISM | S - SENSORY ORGANS
ropivacaine	CIDs00175804	Phase 4	approved	CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C	N - NERVOUS SYSTEM
migalastat HCl	CIDs00176077	Phase 4	approved	OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O	A - ALIMENTARY TRACT AND METABOLISM
enzastaurin	CIDs00176166	Phase 3	unapproved	Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21	
cilengitide	CIDs00176873	Phase 3	unapproved	CC(C)[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc2ccccc2)C(=O)N1C	
ECyd	CIDs00176885	Phase 2	unapproved	C#C[C@@]1(O)[C@@H](CO)O[C@@H](n2ccc(N)nc2=O)[C@@H]1O	
darusentan	CIDs00177236	Phase 3	unapproved	COc1cc(OC)nc(O[C@H](C(=O)O)C(OC)(c2ccccc2)c2ccccc2)n1	
piboserod	CIDs00177335	Phase 2	unapproved	CCCCN1CCC(CNC(=O)c2c3n(c4ccccc24)CCCO3)CC1	
LY293111Na	CIDs00177941	Phase 2	unapproved	CCCc1c(OCCCOc2cc(O)c(-c3ccc(F)cc3)cc2CC)cccc1Oc1ccccc1C(=O)O	
Crescendo	CIDs00178024	Phase 2	unapproved	CC(C)(N)C(=O)N[C@H](COCc1ccccc1)C(=O)N1CCC2(CC1)CN(S(C)(=O)=O)c1ccccc12	
Pozanicline	CIDs00178052	Phase 2	unapproved	Cc1ncccc1OC[C@@H]1CCCN1	
enrasentan	CIDs00178103	Phase 2	unapproved	CCCOc1ccc2c(c1)[C@@H](c1ccc(OC)cc1OCCO)[C@H](C(=O)O)[C@H]2c1ccc2c(c1)OCO2	
arzoxifene	CIDs00179337	Phase 3	unapproved	COc1ccc(-c2sc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1	
asimadoline	CIDs00179340	Phase 3	unapproved	CN(C(=O)C(c1ccccc1)c1ccccc1)[C@H](CN1CC[C@H](O)C1)c1ccccc1	
betadex	CIDs00181264	Phase 3	unapproved	OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O	
ezlopitant	CIDs00188927	Phase 2	unapproved	COc1ccc(C(C)C)cc1CN[C@H]1C2CCN(CC2)[C@H]1C(c1ccccc1)c1ccccc1	
deflazacort	CIDs00189821	Phase 4	approved	CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C	H - SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
norUDCA	CIDs00192254	Phase 3	unapproved	C[C@H](CC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C	
carbocisteine	CIDs00193653	Phase 4	approved	N[C@@H](CSCC(=O)O)C(=O)O	R - RESPIRATORY SYSTEM
etravirine	CIDs00193962	Phase 4	approved	Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br	J - ANTIINFECTIVES FOR SYSTEMIC USE
latrepirdine	CIDs00197033	Phase 3	unapproved	Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1	
donitriptan	CIDs00197705	Phase 2	unapproved	N#Cc1ccc(N2CCN(C(=O)COc3ccc4[nH]cc(CCN)c4c3)CC2)cc1	
etomidate	CIDs00198290	Phase 4	approved	CCOC(=O)c1cncn1[C@H](C)c1ccccc1	N - NERVOUS SYSTEM
osemozotan	CIDs00198746	Phase 3	unapproved	c1ccc2c(c1)OC[C@H](CNCCCOc1ccc3c(c1)OCO3)O2	
repinotan	CIDs00198756	Phase 2	unapproved	O=C1c2ccccc2S(=O)(=O)N1CCCCNC[C@H]1CCc2ccccc2O1	
troleandomycin	CIDs00202225	Phase 4	approved	CO[C@H]1C[C@H](O[C@@H]2[C@@H](C)C(=O)O[C@H](C)[C@H](C)[C@H](OC(C)=O)[C@@H](C)C(=O)[C@]3(CO3)C[C@H](C)[C@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3OC(C)=O)[C@H]2C)O[C@@H](C)[C@@H]1OC(C)=O	J - ANTIINFECTIVES FOR SYSTEMIC USE
dextofisopam	CIDs00204105	Phase 2	unapproved	CC[C@H]1C(C)=NN=C(c2ccc(OC)c(OC)c2)c2cc(OC)c(OC)cc21	
netoglitazone	CIDs00204109	Phase 2	unapproved	O=C1NC(=O)C(Cc2ccc3cc(OCc4ccccc4F)ccc3c2)S1	
muraglitazar	CIDs00206044	Phase 3	unapproved	COc1ccc(OC(=O)N(CC(=O)O)Cc2ccc(OCCc3nc(-c4ccccc4)oc3C)cc2)cc1	
dronedarone	CIDs00208898	Phase 4	approved	CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1	C - CARDIOVASCULAR SYSTEM
tesaglitazar	CIDs00208901	Phase 3	unapproved	CCO[C@@H](Cc1ccc(OCCc2ccc(OS(C)(=O)=O)cc2)cc1)C(=O)O	
ramelteon	CIDs00208902	Phase 4	approved	CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3	N - NERVOUS SYSTEM
proglia	CIDs00208925	Phase 2	unapproved	CCCCCC[C@@H](CCC)C(=O)O	
bifeprunox	CIDs00208951	Phase 3	unapproved	O=c1[nH]c2cccc(N3CCN(Cc4cccc(-c5ccccc5)c4)CC3)c2o1	
MPQX	CIDs00208953	Phase 1	unapproved	O=c1[nH]c2cc(C(F)(F)F)c(N3CCOCC3)cc2n(CP(=O)(O)O)c1=O	
plevitrexed	CIDs00213022	Phase 2	unapproved	C#CCN(Cc1cc2c(O)nc(C)nc2cc1C)c1ccc(C(=O)N[C@@H](CCc2nnn[nH]2)C(=O)O)c(F)c1	
ataciguat	CIDs00213037	Phase 2	unapproved	O=C(Nc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(Cl)s1	
darunavir	CIDs00213039	Phase 4	approved	CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1	J - ANTIINFECTIVES FOR SYSTEMIC USE
fipamezole	CIDs00213041	Phase 2	unapproved	CCC1(c2c[nH]cn2)Cc2ccc(F)cc2C1	
iclaprim	CIDs00213043	Phase 3	unapproved	COc1cc(Cc2cnc(N)nc2N)c2c(c1OC)OC(C1CC1)C=C2	J - ANTIINFECTIVES FOR SYSTEMIC USE
lurasidone	CIDs00213046	Phase 4	approved	O=C1[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C(=O)N1C[C@@H]1CCCC[C@H]1CN1CCN(c2nsc3ccccc23)CC1	N - NERVOUS SYSTEM
cimicoxib	CIDs00213053	Phase 2	unapproved	COc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1F	
ilaprazole	CIDs00214351	Phase 3	unapproved	COc1ccnc(C[S+]([O-])c2nc3cc(-n4cccc4)ccc3[nH]2)c1C	
capromorelin	CIDs00216208	Phase 2	unapproved	CN1N=C2CCN(C(=O)[C@@H](COCc3ccccc3)NC(=O)C(C)(C)N)C[C@@]2(Cc2ccccc2)C1=O	
dabigatran	CIDs00216210	Phase 3	unapproved	Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccn3)ccc21	
sitaxsentan	CIDs00216235	Phase 4	approved	Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl)OCO2	C - CARDIOVASCULAR SYSTEM
tolvaptan	CIDs00216237	Phase 4	approved	Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1	C - CARDIOVASCULAR SYSTEM
alagebrium	CIDs00216304	Phase 2	unapproved	Cc1sc[n+](CC(=O)c2ccccc2)c1C	
T138067-sodium	CIDs00216324	Phase 2	unapproved	COc1ccc(NS(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)cc1F	
succinobucol	CIDs00216325	Phase 3	unapproved	CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(OC(=O)CCC(=O)O)c(C(C)(C)C)c1	
lenalidomide	CIDs00216326	Phase 4	approved	Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O	L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
Senicapoc	CIDs00216327	Phase 3	unapproved	NC(=O)C(c1ccccc1)(c1ccc(F)cc1)c1ccc(F)cc1	
lasofoxifene	CIDs00216416	Phase 4	approved	Oc1ccc2c(c1)CC[C@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1	G - GENITO URINARY SYSTEM AND SEX HORMONES
L-778123	CIDs00216453	Phase 1	unapproved	N#Cc1ccc(Cn2cncc2CN2CCN(c3cccc(Cl)c3)C(=O)C2)cc1	
tonapofylline	CIDs00216466	Phase 3	unapproved	CCCn1c(=O)c2nc(C34CCC(CCC(=O)O)(CC3)CC4)[nH]c2n(CCC)c1=O	
indisulam	CIDs00216468	Phase 2	unapproved	NS(=O)(=O)c1ccc(S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23)cc1	
regadenoson	CIDs00219024	Phase 4	approved	CNC(=O)c1cnn(-c2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1	
lacosamide	CIDs00219078	Phase 4	approved	COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1	N - NERVOUS SYSTEM
fosaprepitant	CIDs00219090	Phase 4	approved	C[C@@H](O[C@H]1OCCN(Cc2nn(P(=O)(O)O)c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1	
phenoxodiol	CIDs00219100	Phase 1	unapproved	Oc1ccc(C2=Cc3ccc(O)cc3OC2)cc1	
traxoprodil	CIDs00219101	Phase 2	unapproved	C[C@@H]([C@@H](O)c1ccc(O)cc1)N1CCC(O)(c2ccccc2)CC1	
1-methylpropyl 2-imidazolyl disulfide	CIDs00219104	Phase 2	unapproved	CCC(C)SSc1ncc[nH]1	
cholic acid	CIDs00221493	Phase 4	approved	C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O	A - ALIMENTARY TRACT AND METABOLISM
sodium deoxycholate	CIDs00222528	Phase 4	approved	C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C	D - DERMATOLOGICALS
oestradiol benzoate	CIDs00222757	Phase 4	approved	C[C@]12CC[C@@H]3c4ccc(OC(=O)c5ccccc5)cc4CC[C@H]3[C@@H]1CC[C@@H]2O	
NTPP	CIDs00229455	Phase 4	approved	C[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCc1ccccc1	A - ALIMENTARY TRACT AND METABOLISM | S - SENSORY ORGANS
5-hydroxymethylfurfural	CIDs00237332	Phase 2	unapproved	O=Cc1ccc(CO)o1	
medrysone	CIDs00247839	Phase 4	approved	CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C	S - SENSORY ORGANS
noscapine	CIDs00275196	Phase 4	approved	COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C	R - RESPIRATORY SYSTEM
rosoxacin	CIDs00287180	Phase 4	approved	CCn1cc(C(=O)O)c(=O)c2ccc(-c3ccncc3)cc21	J - ANTIINFECTIVES FOR SYSTEMIC USE
sorbinil	CIDs00337359	Phase 3	unapproved	O=C1NC(=O)[C@@]2(CCOc3ccc(F)cc32)N1	
perillyl alcohol	CIDs00369312	Phase 2	unapproved	C=C(C)[C@@H]1CC=C(CO)CC1	
caplostatin	CIDs00369976	Phase 2	unapproved	CO[C@H]1[C@H]([C@@]2(C)O[C@@H]2CC=C(C)C)[C@]2(CC[C@H]1OC(=O)NC(=O)CCl)CO2	
ritonavir	CIDs00392622	Phase 4	approved	CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1	J - ANTIINFECTIVES FOR SYSTEMIC USE
NSC-694501	CIDs00393111	Phase 2	unapproved	C=C1C[C@H]2C=Nc3cc(OCCCOc4cc5c(cc4OC)C(=O)N4CC(=C)C[C@H]4C=N5)c(OC)cc3C(=O)N2C1	
CDDO	CIDs00400010	Phase 1	unapproved	CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]3(C)CC[C@H]3C(C)(C)C(=O)C(C#N)=C[C@]43C)[C@@H]2C1	
CDDO-Me	CIDs00400769	Phase 3	unapproved	COC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@](C)(CC[C@H]4C(C)(C)C(=O)C(C#N)=C[C@]34C)[C@]1(C)CC2	
caricotamide	CIDs00403128	Phase 2	unapproved	NC(=O)CN1C=CCC(C(N)=O)=C1	
1-methyl-D-tryptophan	CIDs00405012	Phase 2	unapproved	Cn1cc(C[C@@H](N)C(=O)O)c2ccccc21	
L bradykinin	CIDs00439201	Phase 2	unapproved	N=C(N)NCCC[C@H](N)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O	
2-amino-2-deoxy-D-glucopyranose	CIDs00439213	Phase 4	approved	N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O	M - MUSCULO-SKELETAL SYSTEM
carnosine	CIDs00439224	Phase 2	unapproved	NCCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O	
